# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	1	0	0	0	0
2020-03-01	9	0	0	0	0
2020-03-02	11	0	0	0	0
2020-03-03	12	0	0	0	0
2020-03-04	15	0	0	0	0
2020-03-05	16	0	0	0	0
2020-03-06	17	0	0	0	0
2020-03-07	18	0	0	0	0
2020-03-08	19	0	0	0	0
2020-03-09	19	0	0	0	0
2020-03-10	26	0	0	0	0
2020-03-11	29	0	0	0	0
2020-03-12	33	0	0	0	0
2020-03-13	36	0	0	0	0
2020-03-14	38	0	0	0	0
2020-03-15	45	0	0	0	0
2020-03-16	50	0	0	0	0
2020-03-17	54	0	0	0	0
2020-03-18	58	0	0	0	0
2020-03-19	64	0	0	0	0
2020-03-20	75	0	0	0	0
2020-03-21	77	0	0	0	0
2020-03-22	82	0	0	0	0
2020-03-23	94	0	0	0	0
2020-03-24	100	0	0	0	0
2020-03-25	107	0	0	0	0
2020-03-26	115	0	0	0	0
2020-03-27	123	0	0	0	0
2020-03-28	128	0	0	0	0
2020-03-29	129	0	0	0	0
2020-03-30	140	0	0	0	0
2020-03-31	147	0	0	0	0
2020-04-01	160	0	0	0	0
2020-04-02	167	0	0	0	0
2020-04-03	178	0	0	0	0
2020-04-04	185	0	0	0	0
2020-04-05	193	0	0	0	0
2020-04-06	203	0	0	0	0
2020-04-07	221	0	0	0	0
2020-04-08	241	1	0	0	0
2020-04-09	266	3	0	0	0
2020-04-10	300	3	0	0	0
2020-04-11	324	3	0	0	0
2020-04-12	353	3	0	0	0
2020-04-13	394	4	0	0	0
2020-04-14	424	4	0	0	0
2020-04-15	475	5	0	0	0
2020-04-16	516	5	0	0	0
2020-04-17	565	5	0	0	0
2020-04-18	598	6	0	0	0
2020-04-19	629	7	0	0	0
2020-04-20	717	7	11	7	0
2020-04-21	764	7	15	6	0
2020-04-22	831	9	13	7	0
2020-04-23	901	9	27	9	0
2020-04-24	992	9	22	10	0
2020-04-25	1047	10	28	11	0
2020-04-26	1085	13	40	15	0
2020-04-27	1167	14	38	13	0
2020-04-28	1233	16	44	11	0
2020-04-29	1284	16	40	11	0
2020-04-30	1321	18	42	16	0
2020-05-01	1384	19	43	18	0
2020-05-02	1419	21	43	17	0
2020-05-03	1457	22	38	19	0
2020-05-04	1519	25	42	17	0
2020-05-05	1569	25	40	18	0
2020-05-06	1617	25	44	20	0
2020-05-07	1662	26	44	23	0
2020-05-08	1742	27	40	30	0
2020-05-09	1794	29	52	23	0
2020-05-10	1880	29	51	25	0
2020-05-11	1940	32	47	24	0
2020-05-12	1996	33	42	22	0
2020-05-13	2054	35	31	25	0
2020-05-14	2111	36	38	20	0
2020-05-15	2198	37	46	24	0
2020-05-16	2244	38	38	24	0
2020-05-17	2303	40	45	23	0
2020-05-18	2394	41	37	27	0
2020-05-19	2493	43	33	21	0
2020-05-20	2617	43	37	22	0
2020-05-21	2682	45	41	21	0
2020-05-22	2768	48	37	22	0
2020-05-23	2813	49	30	22	0
2020-05-24	2878	50	22	25	0
2020-05-25	2994	50	23	24	0
2020-05-26	3074	50	29	24	0
2020-05-27	3141	50	35	27	0
2020-05-28	3232	51	36	26	0
2020-05-29	3317	52	42	27	0
2020-05-30	3390	53	47	26	0
2020-05-31	3445	55	41	29	0
2020-06-01	3609	55	36	32	0
2020-06-02	3711	57	48	31	0
2020-06-03	3802	58	38	28	0
2020-06-04	3895	61	41	29	0
2020-06-05	4045	62	43	31	0
2020-06-06	4120	63	40	31	0
2020-06-07	4191	63	39	29	0
2020-06-08	4384	63	33	30	0
2020-06-09	4518	63	38	33	0
2020-06-10	4674	64	37	35	0
2020-06-11	4778	66	33	38	0
2020-06-12	4914	68	32	36	0
2020-06-13	5025	72	40	35	0
2020-06-14	5134	72	36	34	0
2020-06-15	5371	76	49	37	0
2020-06-16	5572	79	39	33	0
2020-06-17	5719	81	52	36	0
2020-06-18	5912	85	47	32	0
2020-06-19	6075	86	55	37	0
2020-06-20	6262	87	57	35	0
2020-06-21	6416	90	59	34	0
2020-06-22	6639	93	65	37	0
2020-06-23	6810	97	50	37	0
2020-06-24	6947	98	58	34	0
2020-06-25	7177	98	59	36	0
2020-06-26	7390	100	70	36	0
2020-06-27	7472	101	64	37	0
2020-06-28	7593	105	72	35	0
2020-06-29	7778	108	70	37	0
2020-06-30	7947	111	59	36	0
2020-07-01	8211	115	73	41	0
2020-07-02	8397	117	76	44	0
2020-07-03	8676	120	66	52	0
2020-07-04	8842	122	66	50	0
2020-07-05	9012	125	68	46	0
2020-07-06	9298	128	64	51	0
2020-07-07	9513	130	59	54	0
2020-07-08	9727	134	66	55	0
2020-07-09	9928	136	67	54	0
