# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	2	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	4	0	0	0	0
2020-03-14	9	0	0	0	0
2020-03-15	10	0	0	0	0
2020-03-16	14	0	0	0	0
2020-03-17	15	0	0	0	0
2020-03-18	16	0	0	0	0
2020-03-19	20	0	0	0	0
2020-03-20	22	0	0	0	0
2020-03-21	25	0	0	0	0
2020-03-22	27	0	0	0	0
2020-03-23	29	0	0	0	0
2020-03-24	32	0	0	0	0
2020-03-25	35	0	0	0	0
2020-03-26	41	0	0	0	0
2020-03-27	41	0	0	0	0
2020-03-28	43	1	0	0	0
2020-03-29	49	1	0	0	0
2020-03-30	51	2	0	0	0
2020-03-31	52	2	0	0	0
2020-04-01	55	2	0	0	0
2020-04-02	58	2	0	0	0
2020-04-03	60	2	0	0	0
2020-04-04	62	3	0	0	0
2020-04-05	62	3	0	0	0
2020-04-06	62	3	0	0	0
2020-04-07	65	3	0	0	0
2020-04-08	65	3	0	0	0
2020-04-09	68	4	0	0	0
2020-04-10	71	4	0	0	0
2020-04-11	74	4	0	0	0
2020-04-12	74	4	0	0	0
2020-04-13	78	4	0	0	0
2020-04-14	82	4	0	0	0
2020-04-15	86	4	0	0	0
2020-04-16	86	4	0	0	0
2020-04-17	90	4	0	0	0
2020-04-18	95	4	0	0	0
2020-04-19	99	4	0	0	0
2020-04-20	104	4	0	5	0
2020-04-21	106	4	0	6	0
2020-04-22	108	4	1	5	0
2020-04-23	113	4	0	6	0
2020-04-24	117	4	0	6	0
2020-04-25	120	4	0	5	0
2020-04-26	122	4	1	5	0
2020-04-27	126	4	0	5	0
2020-04-28	133	4	1	6	0
2020-04-29	137	4	6	5	0
2020-04-30	139	4	6	4	0
2020-05-01	146	4	5	4	0
2020-05-02	150	4	4	4	0
2020-05-03	150	4	4	5	0
2020-05-04	157	4	4	5	0
2020-05-05	160	4	5	5	0
2020-05-06	167	4	3	5	0
2020-05-07	173	4	2	4	0
2020-05-08	178	4	2	4	0
2020-05-09	184	4	2	4	0
2020-05-10	190	4	0	4	0
2020-05-11	199	4	0	3	0
2020-05-12	204	4	1	3	0
2020-05-13	211	4	1	3	0
2020-05-14	223	4	1	3	0
2020-05-15	235	4	0	4	0
2020-05-16	251	4	0	3	0
2020-05-17	263	4	0	3	0
2020-05-18	278	4	1	2	0
2020-05-19	287	4	3	2	0
2020-05-20	305	4	5	2	0
2020-05-21	320	4	6	3	0
2020-05-22	336	4	6	4	0
2020-05-23	348	5	2	4	0
2020-05-24	362	5	3	3	0
2020-05-25	379	5	4	4	0
2020-05-26	395	6	2	4	0
2020-05-27	418	6	5	4	0
2020-05-28	426	7	4	4	0
2020-05-29	441	8	5	2	0
2020-05-30	461	8	3	2	0
2020-05-31	481	8	3	2	0
2020-06-01	515	8	4	4	0
2020-06-02	538	10	1	4	0
2020-06-03	569	11	2	3	0
2020-06-04	595	11	1	4	0
2020-06-05	635	12	2	6	0
2020-06-06	663	12	5	9	0
2020-06-07	690	12	7	5	0
2020-06-08	728	13	8	8	0
2020-06-09	764	14	10	7	0
2020-06-10	815	15	17	7	0
2020-06-11	862	16	15	10	0
2020-06-12	934	17	18	10	0
2020-06-13	995	18	27	11	0
2020-06-14	1056	18	28	11	0
2020-06-15	1150	18	23	9	0
2020-06-16	1213	23	26	10	0
2020-06-17	1287	24	27	12	0
2020-06-18	1369	27	21	16	0
2020-06-19	1456	29	25	18	0
2020-06-20	1541	32	23	23	0
2020-06-21	1602	34	27	19	0
2020-06-22	1705	36	43	21	0
2020-06-23	1772	37	34	24	0
2020-06-24	1855	41	42	24	0
2020-06-25	1927	44	28	24	0
2020-06-26	2005	48	40	28	0
2020-06-27	2049	52	42	29	0
2020-06-28	2102	55	46	22	0
2020-06-29	2171	61	51	27	0
2020-06-30	2251	68	43	26	0
2020-07-01	2324	73	53	23	0
2020-07-02	2407	77	52	31	0
2020-07-03	2495	79	71	29	0
2020-07-04	2580	83	60	28	0
2020-07-05	2643	89	66	42	0
2020-07-06	2734	94	64	40	0
2020-07-07	2804	106	60	49	0
2020-07-08	2886	110	55	44	0
2020-07-09	2954	118	53	42	0
2020-07-10	3045	132	49	43	0
2020-07-11	3122	136	47	39	0
2020-07-12	3191	141	49	37	0
2020-07-13	3290	146	53	38	0
2020-07-14	3358	151	60	41	0
2020-07-15	3447	158	57	46	0
2020-07-16	3515	160	68	45	0
2020-07-17	3602	166	55	46	0
2020-07-18	3682	168	53	48	0
2020-07-19	3742	174	62	48	0
2020-07-20	3844	178	53	51	0
2020-07-21	3918	186	55	47	0
2020-07-22	4013	192	54	47	0
2020-07-23	4086	200	53	47	0
2020-07-24	4187	211	58	44	0
2020-07-25	4257	217	59	41	0
2020-07-26	4310	221	66	35	0
2020-07-27	4382	227	72	38	0
2020-07-28	4443	233	63	36	0
2020-07-29	4496	239	62	39	0
2020-07-30	4559	244	59	37	0
2020-07-31	4626	249	56	39	0
2020-08-01	4723	258	51	37	0
2020-08-02	4793	262	50	34	0
2020-08-03	4873	273	41	31	0
2020-08-04	4932	279	45	32	0
2020-08-05	4998	284	36	31	0
2020-08-06	5072	291	42	32	0
2020-08-07	5148	293	39	32	0
2020-08-08	5214	293	43	31	0
2020-08-09	5261	298	42	36	0
2020-08-10	5354	303	44	35	0
2020-08-11	5417	310	46	31	0
2020-08-12	5477	314	42	31	0
2020-08-13	5537	315	40	35	0
2020-08-14	5608	322	40	32	0
2020-08-15	5677	329	38	29	0
2020-08-16	5722	333	39	33	0
2020-08-17	5796	338	37	31	0
2020-08-18	5841	342	43	33	0
2020-08-19	5910	348	39	32	0
2020-08-20	6000	351	37	30	0
2020-08-21	6070	351	30	30	0
2020-08-22	6129	355	23	33	0
2020-08-23	6186	355	25	34	0
2020-08-24	6263	361	22	35	0
2020-08-25	6348	365	32	36	0
2020-08-26	6418	370	21	30	0
2020-08-27	6475	374	26	28	0
2020-08-28	6552	377	27	30	0
2020-08-29	6613	381	30	33	0
2020-08-30	6657	381	22	26	0
2020-08-31	6709	385	22	27	0
2020-09-01	6791	387	19	27	0
2020-09-02	6851	389	17	26	0
2020-09-03	6917	398	12	26	0
2020-09-04	6981	400	26	24	0
2020-09-05	7036	405	31	28	0
2020-09-06	7071	406	22	29	0
2020-09-07	7146	415	22	32	0
2020-09-08	7219	418	19	30	0
2020-09-09	7284	420	24	28	0
2020-09-10	7340	424	31	27	0
2020-09-11	7400	426	29	27	0
2020-09-12	7458	431	28	31	0
2020-09-13	7498	435	26	34	0
2020-09-14	7557	438	32	33	0
2020-09-15	7605	442	34	33	0
2020-09-16	7648	447	34	35	0
2020-09-17	7691	452	31	32	0
2020-09-18	7742	456	41	31	0
2020-09-19	7786	459	37	36	0
2020-09-20	7833	462	30	30	0
2020-09-21	7907	467	39	34	0
2020-09-22	7957	472	41	34	0
2020-09-23	8019	477	41	30	0
2020-09-24	8078	481	39	32	0
2020-09-25	8148	482	31	34	0
2020-09-26	8205	483	28	35	0
2020-09-27	8262	487	28	37	0
2020-09-28	8356	491	31	35	0
2020-09-29	8427	494	33	31	0
2020-09-30	8507	498	36	30	0
2020-10-01	8612	500	42	30	0
2020-10-02	8690	500	45	32	0
2020-10-03	8761	500	40	31	0
2020-10-04	8816	501	42	32	0
2020-10-05	8897	504	39	33	0
2020-10-06	8968	505	43	33	0
2020-10-07	9045	506	43	28	0
2020-10-08	9129	507	43	28	0
2020-10-09	9215	512	40	34	0
2020-10-10	9289	516	38	35	0
2020-10-11	9362	520	36	34	0
2020-10-12	9436	522	36	37	0
2020-10-13	9533	524	38	33	0
2020-10-14	9625	526	35	29	0
2020-10-15	9729	529	37	27	0
2020-10-16	9827	533	39	29	0
2020-10-17	9888	534	37	28	0
2020-10-18	9987	538	34	31	0
2020-10-19	10082	542	33	24	0
2020-10-20	10185	548	28	23	0
2020-10-21	10271	550	32	23	0
2020-10-22	10370	552	31	27	0
2020-10-23	10468	555	39	28	0
2020-10-24	10562	556	38	25	0
2020-10-25	10642	557	37	28	0
2020-10-26	10760	559	41	29	0
2020-10-27	10860	562	37	23	0
2020-10-28	10949	563	33	23	0
2020-10-29	11062	567	44	27	0
2020-10-30	11200	570	43	27	0
2020-10-31	11292	572	38	19	0
2020-11-01	11413	573	37	28	0
2020-11-02	11541	575	36	27	0
2020-11-03	11676	575	43	28	0
2020-11-04	11817	577	39	31	0
2020-11-05	11996	580	43	28	0
2020-11-06	12161	583	51	33	0
2020-11-07	12320	585	54	27	0
2020-11-08	12502	586	49	26	0
2020-11-09	12817	589	48	29	0
2020-11-10	13057	591	45	26	0
2020-11-11	13306	597	49	27	0
2020-11-12	13536	600	56	36	0
2020-11-13	13772	603	50	39	0
2020-11-14	14005	606	43	43	0
2020-11-15	14240	607	48	41	0
2020-11-16	14540	610	48	43	0
2020-11-17	14801	613	52	42	0
2020-11-18	15116	618	60	39	0
2020-11-19	15425	622	52	37	0
2020-11-20	15804	625	63	41	0
2020-11-21	16055	627	66	37	0
2020-11-22	16279	631	67	40	0
2020-11-23	16590	633	64	45	0
2020-11-24	16842	637	70	50	0
2020-11-25	17122	645	69	49	0
2020-11-26	17380	651	65	48	0
2020-11-27	17648	657	67	48	0
2020-11-28	17896	665	69	52	0
2020-11-29	18093	666	66	52	0
2020-11-30	18430	676	69	49	0
2020-12-01	18713	680	70	50	0
2020-12-02	18925	686	65	55	0
2020-12-03	19177	692	69	53	0
2020-12-04	19393	695	81	51	0
2020-12-05	19570	699	83	56	0
2020-12-06	19739	706	79	50	0
2020-12-07	19995	710	72	58	0
2020-12-08	20200	716	59	66	0
2020-12-09	20369	729	62	62	0
2020-12-10	20538	736	59	59	0
2020-12-11	20740	743	62	58	0
2020-12-12	20859	747	64	63	0
2020-12-13	20981	751	73	65	0
2020-12-14	21181	759	71	59	0
2020-12-15	21351	765	63	60	0
2020-12-16	21460	775	59	57	0
2020-12-17	21555	779	73	54	0
2020-12-18	21698	783	77	51	0
2020-12-19	21778	787	61	36	0
2020-12-20	21854	790	66	49	0
2020-12-21	21976	792	68	48	0
2020-12-22	22074	796	73	49	0
2020-12-23	22165	802	56	56	0
2020-12-24	22253	805	49	53	0
2020-12-25	22331	805	48	54	0
2020-12-26	22394	813	58	51	0
2020-12-27	22452	818	56	51	0
2020-12-28	22570	826	48	49	0
2020-12-29	22649	830	47	48	0
2020-12-30	22739	840	57	48	0
2020-12-31	22815	845	56	40	0
2021-01-01	22898	850	59	43	0
2021-01-02	22956	853	53	50	0
2021-01-03	23012	856	56	46	0
2021-01-04	23077	862	59	44	0
2021-01-05	23124	868	60	40	0
2021-01-06	23160	869	63	34	0
2021-01-07	23192	870	51	40	0
2021-01-08	23209	876	52	41	0
2021-01-09	23213	884	53	36	0
2021-01-10	23213	886	58	41	0
2021-01-11	23215	889	46	37	0
2021-01-12	23215	889	41	38	0
2021-01-13	23215	890	43	37	0
