# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	1	0	0	0	0
2020-03-08	1	0	0	0	0
2020-03-09	1	0	0	0	0
2020-03-10	2	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	2	0	0	0	0
2020-03-15	2	0	0	0	0
2020-03-16	2	0	0	0	0
2020-03-17	2	0	0	0	0
2020-03-18	2	0	0	0	0
2020-03-19	2	0	0	0	0
2020-03-20	2	0	0	0	0
2020-03-21	2	0	0	0	0
2020-03-22	2	0	0	0	0
2020-03-23	2	0	0	0	0
2020-03-24	2	0	0	0	0
2020-03-25	2	0	0	0	0
2020-03-26	2	0	0	0	0
2020-03-27	2	0	0	0	0
2020-03-28	2	0	0	0	0
2020-03-29	2	0	0	0	0
2020-03-30	2	0	0	0	0
2020-03-31	2	0	0	0	0
2020-04-01	3	0	0	0	0
2020-04-02	3	0	0	0	0
2020-04-03	4	0	0	0	0
2020-04-04	4	0	0	0	0
2020-04-05	4	0	0	0	0
2020-04-06	4	0	0	0	0
2020-04-07	4	0	0	0	0
2020-04-08	5	0	0	0	0
2020-04-09	5	0	0	0	0
2020-04-10	6	0	0	0	0
2020-04-11	7	0	0	0	0
2020-04-12	7	0	0	0	0
2020-04-13	7	0	0	0	0
2020-04-14	8	0	0	0	0
2020-04-15	8	0	0	0	0
2020-04-16	8	0	0	0	0
2020-04-17	8	0	0	0	0
2020-04-18	8	0	0	0	0
2020-04-19	8	0	0	0	0
2020-04-20	11	0	2	0	0
2020-04-21	13	0	1	0	0
2020-04-22	15	0	1	0	0
2020-04-23	15	0	1	0	0
2020-04-24	17	0	1	0	0
2020-04-25	17	0	2	0	0
2020-04-26	18	0	3	1	0
2020-04-27	19	0	3	1	0
2020-04-28	19	0	3	1	0
2020-04-29	19	0	3	1	0
2020-04-30	19	0	3	1	0
2020-05-01	20	0	3	1	0
2020-05-02	22	0	3	1	0
2020-05-03	22	0	3	1	0
2020-05-04	26	0	4	1	0
2020-05-05	26	0	3	1	0
2020-05-06	29	0	3	1	0
2020-05-07	30	0	4	1	0
2020-05-08	30	0	4	2	0
2020-05-09	32	0	4	2	0
2020-05-10	37	0	2	2	0
2020-05-11	39	1	2	2	0
2020-05-12	42	1	1	2	0
2020-05-13	46	2	1	1	0
2020-05-14	49	2	1	1	0
2020-05-15	50	2	4	1	0
2020-05-16	50	3	4	1	0
2020-05-17	56	3	3	1	0
2020-05-18	63	3	2	1	0
2020-05-19	71	3	1	1	0
2020-05-20	79	3	4	1	0
2020-05-21	84	3	3	1	0
2020-05-22	87	3	4	1	0
2020-05-23	93	3	2	1	0
2020-05-24	103	3	2	1	0
2020-05-25	107	3	1	1	0
2020-05-26	112	3	0	1	0
2020-05-27	116	3	0	1	0
2020-05-28	121	3	1	1	0
2020-05-29	129	3	2	1	0
2020-05-30	135	3	4	1	0
2020-05-31	139	3	2	1	0
2020-06-01	154	3	2	1	0
2020-06-02	160	3	2	2	0
2020-06-03	169	3	2	2	0
2020-06-04	176	5	3	3	0
2020-06-05	191	6	1	4	0
2020-06-06	202	6	2	3	0
2020-06-07	207	6	2	3	0
2020-06-08	215	6	2	2	0
2020-06-09	229	6	3	5	0
2020-06-10	242	6	1	4	0
2020-06-11	256	7	2	4	0
2020-06-12	284	8	0	4	0
2020-06-13	308	11	5	4	0
2020-06-14	331	11	2	4	0
2020-06-15	354	13	2	4	0
2020-06-16	378	14	2	3	0
2020-06-17	395	15	7	2	0
2020-06-18	420	15	6	2	0
2020-06-19	440	15	5	2	0
2020-06-20	458	15	7	2	0
2020-06-21	486	16	8	2	0
2020-06-22	514	16	13	2	0
2020-06-23	532	17	7	2	0
2020-06-24	550	17	8	1	0
2020-06-25	576	17	9	1	0
2020-06-26	594	17	14	2	0
2020-06-27	607	17	10	3	0
2020-06-28	622	17	12	4	0
2020-06-29	638	18	12	4	0
2020-06-30	653	20	8	6	0
2020-07-01	670	21	12	5	0
2020-07-02	688	22	10	8	0
2020-07-03	712	25	10	7	0
2020-07-04	739	25	8	8	0
2020-07-05	762	27	9	7	0
2020-07-06	792	28	4	7	0
2020-07-07	821	28	5	9	0
2020-07-08	846	28	5	8	0
2020-07-09	871	29	8	8	0
2020-07-10	911	30	7	8	0
2020-07-11	938	30	9	8	0
2020-07-12	961	33	12	6	0
2020-07-13	990	34	11	4	0
2020-07-14	1039	35	11	4	0
2020-07-15	1074	36	15	4	0
2020-07-16	1108	36	19	3	0
2020-07-17	1147	37	29	3	0
2020-07-18	1184	37	23	4	0
2020-07-19	1225	39	19	4	0
2020-07-20	1258	39	20	3	0
2020-07-21	1279	39	18	3	0
2020-07-22	1309	39	16	4	0
2020-07-23	1334	39	16	3	0
2020-07-24	1357	40	10	6	0
2020-07-25	1380	41	15	4	0
2020-07-26	1405	41	17	5	0
2020-07-27	1441	42	21	4	0
2020-07-28	1471	43	22	5	0
2020-07-29	1500	47	22	5	0
2020-07-30	1522	49	19	4	0
2020-07-31	1558	50	18	6	0
2020-08-01	1583	51	16	6	0
2020-08-02	1610	51	18	6	0
2020-08-03	1645	51	14	6	0
2020-08-04	1673	52	16	5	0
2020-08-05	1720	52	18	6	0
2020-08-06	1762	54	17	6	0
2020-08-07	1803	55	12	6	0
2020-08-08	1823	56	13	7	0
2020-08-09	1846	57	10	8	0
2020-08-10	1889	60	7	8	0
2020-08-11	1913	60	11	8	0
2020-08-12	1932	62	17	7	0
2020-08-13	1951	65	17	6	0
2020-08-14	1983	65	13	7	0
2020-08-15	2011	67	8	7	0
2020-08-16	2028	69	9	10	0
2020-08-17	2046	69	9	9	0
2020-08-18	2066	69	14	7	0
2020-08-19	2085	69	12	6	0
2020-08-20	2105	69	14	6	0
2020-08-21	2127	69	6	8	0
2020-08-22	2142	70	7	8	0
2020-08-23	2158	71	5	8	0
2020-08-24	2182	72	4	7	0
2020-08-25	2204	75	4	7	0
2020-08-26	2228	77	9	7	0
2020-08-27	2245	79	8	6	0
2020-08-28	2263	83	10	6	0
2020-08-29	2281	84	11	5	0
2020-08-30	2292	85	13	4	0
2020-08-31	2316	87	9	4	0
2020-09-01	2330	89	8	4	0
2020-09-02	2342	91	9	5	0
2020-09-03	2361	91	8	4	0
2020-09-04	2379	95	9	4	0
2020-09-05	2402	96	12	4	0
2020-09-06	2413	98	15	5	0
2020-09-07	2424	98	12	5	0
2020-09-08	2440	98	10	5	0
2020-09-09	2451	98	15	5	0
2020-09-10	2487	98	14	6	0
2020-09-11	2505	100	13	5	0
2020-09-12	2514	100	12	6	0
2020-09-13	2532	101	10	6	0
2020-09-14	2543	103	8	2	0
2020-09-15	2552	104	6	4	0
2020-09-16	2559	107	9	2	0
2020-09-17	2575	108	8	4	0
2020-09-18	2588	108	6	4	0
2020-09-19	2600	109	11	4	0
2020-09-20	2614	109	5	5	0
2020-09-21	2623	109	5	5	0
2020-09-22	2639	109	6	5	0
2020-09-23	2650	109	10	4	0
2020-09-24	2667	109	14	3	0
2020-09-25	2687	111	11	3	0
2020-09-26	2695	111	8	3	0
2020-09-27	2707	113	8	2	0
2020-09-28	2722	113	9	2	0
2020-09-29	2737	114	7	2	0
2020-09-30	2752	114	4	2	0
2020-10-01	2766	114	2	2	0
2020-10-02	2774	116	5	2	0
2020-10-03	2790	116	6	2	0
2020-10-04	2801	116	5	2	0
2020-10-05	2809	116	8	2	0
2020-10-06	2820	117	4	1	0
2020-10-07	2830	117	4	2	0
2020-10-08	2844	117	6	2	0
2020-10-09	2856	118	6	2	0
2020-10-10	2872	118	5	2	0
2020-10-11	2881	118	5	2	0
2020-10-12	2896	119	5	1	0
2020-10-13	2911	120	4	2	0
2020-10-14	2920	120	5	2	0
2020-10-15	2940	120	3	2	0
2020-10-16	2959	122	6	0	0
2020-10-17	2991	122	8	1	0
2020-10-18	3022	124	7	2	0
2020-10-19	3053	124	6	3	0
2020-10-20	3074	124	9	3	0
2020-10-21	3099	125	11	3	0
2020-10-22	3135	125	10	3	0
2020-10-23	3163	125	9	4	0
2020-10-24	3181	126	8	2	0
2020-10-25	3210	128	9	3	0
2020-10-26	3241	128	7	3	0
2020-10-27	3263	128	12	4	0
2020-10-28	3284	128	11	5	0
2020-10-29	3317	128	13	5	0
2020-10-30	3347	128	10	5	0
2020-10-31	3389	129	7	5	0
2020-11-01	3433	129	6	5	0
2020-11-02	3468	131	8	5	0
2020-11-03	3508	131	11	6	0
2020-11-04	3541	131	11	6	0
2020-11-05	3582	132	11	6	0
2020-11-06	3625	132	14	5	0
2020-11-07	3669	132	14	4	0
2020-11-08	3721	133	10	4	0
2020-11-09	3784	134	18	3	0
2020-11-10	3826	135	22	3	0
2020-11-11	3865	136	21	3	0
2020-11-12	3913	136	22	4	0
2020-11-13	3971	136	14	4	0
2020-11-14	4010	136	13	4	0
2020-11-15	4050	136	12	4	0
2020-11-16	4119	137	11	4	0
2020-11-17	4171	138	12	4	0
2020-11-18	4217	139	16	4	0
2020-11-19	4285	140	13	4	0
2020-11-20	4369	142	18	3	0
2020-11-21	4427	142	16	3	0
2020-11-22	4483	142	14	4	0
2020-11-23	4550	144	20	4	0
2020-11-24	4598	144	28	5	0
2020-11-25	4626	146	29	4	0
2020-11-26	4653	147	34	6	0
2020-11-27	4677	148	37	6	0
2020-11-28	4692	149	27	6	0
2020-11-29	4693	151	27	7	0
2020-11-30	4695	152	30	6	0
2020-12-01	4695	152	40	5	0
2020-12-02	4695	152	38	4	0
2020-12-03	4695	152	38	6	0
