# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	2	0	0	0	0
2020-03-03	2	0	0	0	0
2020-03-04	2	0	0	0	0
2020-03-05	3	0	0	0	0
2020-03-06	4	0	0	0	0
2020-03-07	5	0	0	0	0
2020-03-08	8	0	0	0	0
2020-03-09	10	0	0	0	0
2020-03-10	15	0	0	0	0
2020-03-11	20	0	0	0	0
2020-03-12	26	0	0	0	0
2020-03-13	34	0	0	0	0
2020-03-14	41	0	0	0	0
2020-03-15	70	0	0	0	0
2020-03-16	95	0	0	0	0
2020-03-17	106	0	0	0	0
2020-03-18	121	0	0	0	0
2020-03-19	137	0	0	0	0
2020-03-20	158	0	0	0	0
2020-03-21	175	0	0	0	0
2020-03-22	179	0	0	0	0
2020-03-23	195	0	0	0	0
2020-03-24	208	1	0	0	0
2020-03-25	225	1	0	0	0
2020-03-26	244	2	0	0	0
2020-03-27	255	2	0	0	0
2020-03-28	267	2	0	0	0
2020-03-29	284	2	0	0	0
2020-03-30	297	2	0	0	0
2020-03-31	311	2	0	0	0
2020-04-01	328	3	0	0	0
2020-04-02	338	4	0	0	0
2020-04-03	353	4	0	0	0
2020-04-04	362	4	0	0	0
2020-04-05	366	4	0	0	0
2020-04-06	376	5	0	0	0
2020-04-07	385	6	0	0	0
2020-04-08	396	7	0	0	0
2020-04-09	411	7	0	0	0
2020-04-10	420	7	0	0	0
2020-04-11	425	7	0	0	0
2020-04-12	432	8	0	0	0
2020-04-13	444	9	1	0	0
2020-04-14	455	9	19	36	0
2020-04-15	465	9	14	41	0
2020-04-16	474	10	16	41	0
2020-04-17	481	10	15	40	0
2020-04-18	489	10	7	41	0
2020-04-19	497	11	5	38	0
2020-04-20	505	11	10	23	0
2020-04-21	511	12	26	34	0
2020-04-22	522	12	15	30	0
2020-04-23	530	12	17	32	0
2020-04-24	540	13	13	34	0
2020-04-25	546	14	16	33	0
2020-04-26	556	16	13	35	0
2020-04-27	568	16	14	32	0
2020-04-28	577	16	18	34	0
2020-04-29	587	17	19	35	0
2020-04-30	596	17	18	30	0
2020-05-01	611	17	15	29	0
2020-05-02	620	18	14	32	0
2020-05-03	637	20	11	34	0
2020-05-04	657	20	33	34	0
2020-05-05	673	21	37	26	0
2020-05-06	690	21	35	29	0
2020-05-07	716	21	37	37	0
2020-05-08	745	22	29	34	0
2020-05-09	767	22	30	35	0
2020-05-10	798	22	32	43	0
2020-05-11	822	24	25	35	0
2020-05-12	844	26	27	35	0
2020-05-13	867	29	29	34	0
2020-05-14	905	30	41	32	0
2020-05-15	945	30	43	42	0
2020-05-16	974	31	41	45	0
2020-05-17	1002	31	64	42	0
2020-05-18	1037	35	41	46	0
2020-05-19	1067	37	56	45	0
2020-05-20	1101	37	47	43	0
2020-05-21	1120	38	53	45	0
2020-05-22	1165	39	53	48	0
2020-05-23	1199	41	54	49	0
2020-05-24	1230	46	60	47	0
2020-05-25	1284	48	61	45	0
2020-05-26	1314	49	64	45	0
2020-05-27	1341	50	63	48	0
2020-05-28	1379	51	59	47	0
2020-05-29	1423	52	61	46	0
2020-05-30	1462	54	59	51	0
2020-05-31	1491	56	60	50	0
2020-06-01	1595	59	67	43	0
2020-06-02	1661	62	71	45	0
2020-06-03	1765	63	78	49	0
2020-06-04	1878	64	88	47	0
2020-06-05	1966	66	94	51	0
2020-06-06	2066	66	80	50	0
2020-06-07	2147	68	85	54	0
2020-06-08	2247	73	81	62	0
2020-06-09	2363	75	81	63	0
2020-06-10	2512	79	101	69	0
2020-06-11	2622	81	93	63	0
2020-06-12	2750	82	108	69	0
2020-06-13	2845	86	111	75	0
2020-06-14	2965	87	104	78	0
2020-06-15	3139	92	108	86	0
2020-06-16	3300	94	113	81	0
2020-06-17	3521	101	135	80	0
2020-06-18	3676	107	144	80	0
2020-06-19	3864	113	144	87	0
2020-06-20	4100	115	151	93	0
2020-06-21	4283	119	165	99	0
2020-06-22	4523	123	164	105	0
2020-06-23	4684	128	182	105	0
2020-06-24	4863	134	190	113	0
2020-06-25	5040	136	196	124	0
2020-06-26	5212	137	209	126	0
2020-06-27	5354	145	234	128	0
2020-06-28	5506	157	211	140	0
2020-06-29	5660	164	239	145	0
2020-06-30	5833	170	215	146	0
2020-07-01	6034	176	221	154	0
2020-07-02	6210	184	219	170	0
2020-07-03	6412	201	235	181	0
2020-07-04	6590	211	280	183	0
2020-07-05	6794	226	287	188	0
2020-07-06	7007	237	305	190	0
2020-07-07	7171	245	288	191	0
2020-07-08	7320	253	331	201	0
2020-07-09	7438	268	356	210	0
2020-07-10	7569	275	327	220	0
2020-07-11	7622	285	312	221	0
2020-07-12	7678	300	314	229	0
2020-07-13	7711	316	362	236	0
2020-07-14	7761	327	365	249	0
2020-07-15	7796	340	381	254	0
2020-07-16	7856	350	407	258	0
2020-07-17	7944	365	417	266	0
2020-07-18	7944	374	411	274	0
2020-07-19	7944	379	393	276	0
2020-07-20	7944	379	352	284	0
